DATE,RAIN,SNOW,SUN,TEMP,WIND
2020-12-02,1.0,0.0,0.6,0.2,3.0
2020-12-03,0.3,0.0,0.8,0.5,2.7
2020-12-04,0.0,0.0,0.0,2.7,2.0
2020-12-05,0.0,0.0,0.0,1.5,1.0
2020-12-06,0.0,0.0,1.2,-1.1,6.0
2020-12-07,0.0,0.0,7.4,-3.8,2.7
2020-12-08,0.7,0.0,6.6,-4.9,1.7
2020-12-09,0.2,0.0,5.0,-2.9,4.3
2020-12-10,0.1,4.0,0.1,1.9,4.0
2020-12-11,0.1,6.0,0.0,-2.4,4.7
2020-12-12,0.0,5.0,3.7,-4.5,3.3
2020-12-13,0.0,5.0,1.7,-2.9,1.7
2020-12-14,0.0,4.0,2.4,-3.1,3.3
2020-12-15,0.0,3.0,0.0,0.8,1.3
2020-12-16,0.0,2.0,1.4,4.7,2.7
2020-12-17,0.0,0.0,0.0,3.9,1.3
2020-12-18,0.0,0.0,0.0,3.9,1.7
2020-12-19,0.0,0.0,0.5,4.0,1.3
2020-12-20,0.2,0.0,0.0,1.3,1.7
2020-12-21,1.1,0.0,0.0,0.1,2.0
2020-12-22,3.0,0.0,0.0,1.5,1.0
2020-12-23,2.8,0.0,0.0,2.4,1.3
2020-12-24,0.2,0.0,0.2,7.1,2.0
2020-12-25,0.8,0.0,0.2,3.8,1.7
2020-12-26,0.0,0.0,0.1,7.4,5.3
2020-12-27,0.0,0.0,0.8,7.5,5.0
2020-12-28,0.1,0.0,2.5,1.6,2.7
2020-12-29,0.0,0.0,3.6,1.8,1.7
2020-12-30,0.0,0.0,1.4,3.0,3.3
2020-12-31,0.0,0.0,3.4,5.9,4.7
2021-01-01,0.0,0.0,1.7,3.6,3.7
2021-01-02,1.4,0.0,4.0,4.9,5.0
2021-01-03,0.5,0.0,0.0,5.7,8.0
2021-01-04,2.7,0.0,0.5,9.1,6.3
2021-01-05,0.3,0.0,0.0,7.4,3.3
2021-01-06,6.4,0.0,0.0,6.8,4.0
2021-01-07,0.0,0.0,0.0,4.8,2.0
2021-01-08,0.1,0.0,0.0,5.8,2.7
2021-01-09,0.1,0.0,0.0,5.9,2.3
2021-01-10,0.0,0.0,0.0,3.9,4.0
2021-01-11,0.0,1.0,1.4,-1.1,5.3
2021-01-12,1.1,0.0,2.9,-2.3,2.3
2021-01-13,0.8,0.0,0.0,-2.5,2.3
2021-01-14,0.0,0.0,0.0,-2.4,2.3
2021-01-15,1.4,6.0,0.4,-2.7,1.7
2021-01-16,0.0,5.0,0.0,-1.7,2.0
2021-01-17,0.2,4.0,0.0,-2.1,4.3
2021-01-18,0.1,10.0,0.0,-4.5,3.0
