Období,Vstup,Výstup,Obrat
16.12.2021,850878,855434,1706312
17.12.2021,812290,815151,1627441
18.12.2021,467184,460919,928103
19.12.2021,381083,375754,756837
20.12.2021,807691,811307,1618998
21.12.2021,805523,806114,1611637
22.12.2021,751675,754765,1506440
23.12.2021,509071,508926,1017997
24.12.2021,201821,200591,402412
25.12.2021,180808,178584,359392
26.12.2021,221771,218483,440254
27.12.2021,458206,457531,915737
28.12.2021,480631,479489,960120
29.12.2021,491632,489632,981264
30.12.2021,479131,476997,956128
31.12.2021,387629,385629,773258
1.1.2022,192496,188860,381356
2.1.2022,285732,282180,567912
3.1.2022,702134,705226,1407360
4.1.2022,727648,724815,1452463
5.1.2022,747754,747152,1494906
6.1.2022,727856,730852,1458708
7.1.2022,685743,686405,1372148
8.1.2022,333898,332121,666019
9.1.2022,293707,291167,584874
10.1.2022,722020,718977,1440997
11.1.2022,736130,734569,1470699
12.1.2022,736538,736265,1472803
13.1.2022,719445,719254,1438699
14.1.2022,680768,677459,1358227
15.1.2022,347787,340652,688439
16.1.2022,286566,282474,569040
17.1.2022,693805,691135,1384940
18.1.2022,691319,690375,1381694
19.1.2022,691541,688644,1380185
20.1.2022,669574,671612,1341186
21.1.2022,620230,621744,1241974
22.1.2022,320857,318426,639283
23.1.2022,272545,270647,543192
24.1.2022,648312,650998,1299310
25.1.2022,661068,662178,1323246
26.1.2022,666664,670037,1336701
27.1.2022,657611,658332,1315943
28.1.2022,604650,604789,1209439
29.1.2022,314719,310358,625077
30.1.2022,271711,270237,541948
31.1.2022,672235,673769,1346004
1.2.2022,683839,682301,1366140
2.2.2022,688044,688220,1376264
3.2.2022,673243,675047,1348290
4.2.2022,587016,585217,1172233
5.2.2022,346378,342975,689353
6.2.2022,285426,283463,568889
7.2.2022,700531,701872,1402403
8.2.2022,716174,716396,1432570
9.2.2022,732227,730317,1462544
10.2.2022,728713,733128,1461841
11.2.2022,686366,684670,1371036
12.2.2022,394181,387909,782090
13.2.2022,348214,345280,693494
14.2.2022,788954,790538,1579492
15.2.2022,785634,784398,1570032
16.2.2022,797329,794706,1592035
17.2.2022,773509,774588,1548097
